"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,Zone,"Origin City","Origin State","Destination City","Destination State","Pickup Pincode","Charged Weight","Freight Charges","COD Charges",IGST,SGST,CGST,"Grand Total","Order Type"
Forward,"Air Xpressbees 0.5 K.G",14345160225231,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662909,#DERMA2927115,COD,305001,Ajmer,z6,AHMEDABAD,GUJARAT,Ajmer,RAJASTHAN,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225235,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662910,#DERMA2926972,COD,211008,Allahabad,z6,AHMEDABAD,GUJARAT,Allahabad,"UTTAR PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225234,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662911,#DERMA2926618,COD,247001,SAHARANPUR,z6,AHMEDABAD,GUJARAT,SAHARANPUR,"UTTAR PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225233,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662912,#DERMA2926576,COD,732201,KALIACHAK,z6,AHMEDABAD,GUJARAT,KALIACHAK,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225238,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662913,#DERMA2927050,COD,121012,FARIDABAD,z6,AHMEDABAD,GUJARAT,FARIDABAD,HARYANA,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225239,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662915,#DERMA2926778,COD,700145,KOLKATA,z6,AHMEDABAD,GUJARAT,KOLKATA,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225240,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24662916,#DERMA2927088,COD,201301,"DELHI NCR",z6,AHMEDABAD,GUJARAT,"DELHI NCR",DELHI,380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225241,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662917,#DERMA2926692,COD,851204,KHAGARIA,z6,AHMEDABAD,GUJARAT,KHAGARIA,BIHAR,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225242,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24662918,#DERMA2926691,COD,248002,Dehradun,z6,AHMEDABAD,GUJARAT,Dehradun,UTTARAKHAND,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225243,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24662919,#DERMA2927030,COD,500067,HYDERABAD,z6,AHMEDABAD,GUJARAT,HYDERABAD,TELANGANA,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
